Version 1.1
Scenario 16
time(ms), A_L_pX, A_L_pY, A_L_pZ, A_L_iX, A_L_iY, A_L_iZ, A_R_pX, A_R_pY, A_R_pZ, A_R_iX, A_R_iY, A_R_iZ, B_L_pX, B_L_pY, B_L_pZ, B_L_iX, B_L_iY, B_L_iZ, B_R_pX, B_R_pY, B_R_pZ, B_R_iX, B_R_iY, B_R_iZ
0, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
101, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
117, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
134, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
150, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
167, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
183, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
217, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
234, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
249, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
267, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
283, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
301, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
317, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
334, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
351, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
367, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
383, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
417, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
434, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
450, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
467, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
484, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
517, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
534, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
551, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
567, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
584, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
601, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
617, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
634, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
650, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
667, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
684, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
701, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
717, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
734, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
751, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
766, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
784, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
801, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
817, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
834, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
850, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
867, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
