Version 1.1
Scenario 12
time(ms), A_L_pX, A_L_pY, A_L_pZ, A_L_iX, A_L_iY, A_L_iZ, A_R_pX, A_R_pY, A_R_pZ, A_R_iX, A_R_iY, A_R_iZ, B_L_pX, B_L_pY, B_L_pZ, B_L_iX, B_L_iY, B_L_iZ, B_R_pX, B_R_pY, B_R_pZ, B_R_iX, B_R_iY, B_R_iZ
2, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
84, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
101, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
117, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
134, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
151, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
167, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
184, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
201, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
218, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
234, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
250, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
267, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
284, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
301, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
317, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
334, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
350, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
367, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
384, 2602, -4411, 2225, 4350, -5016, 2519, 2350, -2104, 1064, 1304, -2928, 984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
