Version 1.1
Scenario 16
time(ms), A_L_pX, A_L_pY, A_L_pZ, A_L_iX, A_L_iY, A_L_iZ, A_R_pX, A_R_pY, A_R_pZ, A_R_iX, A_R_iY, A_R_iZ, B_L_pX, B_L_pY, B_L_pZ, B_L_iX, B_L_iY, B_L_iZ, B_R_pX, B_R_pY, B_R_pZ, B_R_iX, B_R_iY, B_R_iZ
1, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
116, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
133, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
149, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
167, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
183, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
199, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
217, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
233, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
249, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
266, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
283, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
316, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
332, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
350, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
367, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
383, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
416, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
433, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
450, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
466, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
483, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
516, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
533, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
550, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
566, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
583, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
617, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
633, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
650, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
666, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
683, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
699, -461, 326, -300, 885, -358, -1086, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
