Version 1.1
Scenario 10
time(ms), A_L_pX, A_L_pY, A_L_pZ, A_L_iX, A_L_iY, A_L_iZ, A_R_pX, A_R_pY, A_R_pZ, A_R_iX, A_R_iY, A_R_iZ, B_L_pX, B_L_pY, B_L_pZ, B_L_iX, B_L_iY, B_L_iZ, B_R_pX, B_R_pY, B_R_pZ, B_R_iX, B_R_iY, B_R_iZ
1, -6455, -2792, -243, -5564, -2786, -1201, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, -6491, -2681, -252, -5666, -2650, -1216, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34, -6479, -2591, -293, -5775, -2485, -1266, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, -6444, -2553, -330, -5847, -2342, -1306, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67, -6428, -2445, -383, -5860, -2233, -1360, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83, -6369, -2324, -448, -5870, -2140, -1429, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, -6259, -2303, -507, -5851, -2114, -1491, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
116, -6110, -2325, -566, -5848, -2191, -1555, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
133, -6110, -2325, -566, -5848, -2191, -1555, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
150, -5933, -2385, -603, -5749, -2434, -1595, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
167, -5596, -2534, -626, -5548, -2866, -1609, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
184, -5269, -2712, -651, -5322, -3242, -1617, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, -4392, -2784, -583, -4495, -3573, -1512, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
217, -3940, -2800, -554, -4272, -3642, -1468, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
233, -2827, -2883, -569, -4596, -4030, -1206, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
250, -2099, -3913, -487, -172, -3013, -1185, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
266, -2083, -2810, -240, -372, -2965, -1082, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
284, -1944, -2181, -45, -89, -2482, -844, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, -1648, -1876, -8, 313, -1869, -794, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
316, -1418, -1638, 1, 695, -1420, -738, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
334, -1418, -1638, 1, 695, -1420, -738, 6548, -3218, 745, 4723, -3585, -216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
