Version 1.1
Scenario 3
time(ms), A_L_pX, A_L_pY, A_L_pZ, A_L_iX, A_L_iY, A_L_iZ, A_R_pX, A_R_pY, A_R_pZ, A_R_iX, A_R_iY, A_R_iZ, B_L_pX, B_L_pY, B_L_pZ, B_L_iX, B_L_iY, B_L_iZ, B_R_pX, B_R_pY, B_R_pZ, B_R_iX, B_R_iY, B_R_iZ
0, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
101, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
117, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
134, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
150, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
167, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
183, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
217, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
234, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
250, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
267, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
284, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
299, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
317, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
334, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
351, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
367, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
383, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
416, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
433, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
450, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
466, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
484, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
516, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
534, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
550, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
567, 2564, -5242, 2080, 5649, -6012, 1697, 6014, -4402, 1195, 4265, -5940, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
