Version 1.1
Scenario 17
time(ms), A_L_pX, A_L_pY, A_L_pZ, A_L_iX, A_L_iY, A_L_iZ, A_R_pX, A_R_pY, A_R_pZ, A_R_iX, A_R_iY, A_R_iZ, B_L_pX, B_L_pY, B_L_pZ, B_L_iX, B_L_iY, B_L_iZ, B_R_pX, B_R_pY, B_R_pZ, B_R_iX, B_R_iY, B_R_iZ
1, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
116, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
132, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
150, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
166, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
183, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
217, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
234, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
250, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
266, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
283, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
299, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
316, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
333, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
350, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
366, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
383, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
416, -1, -612, -213, 2082, -118, -1182, -2034, -504, -76, -3077, -1453, -817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
